window_id,window_start,window_end,cryptocurrency,tweet_count,synthetic_count,positive_count,neutral_count,negative_count,positive_ratio,neutral_ratio,negative_ratio,mean_sentiment_score,sentiment_std,sentiment_intensity,mean_sentiment_confidence,dominant_label,regime,abs_mean_sentiment_score,adversarial_direction,nominal_injection_ratio,original_tweet_count,actual_injection_ratio,cap_hit
BTC_20221130T092500Z,2022-11-30 09:25:00+00:00,2022-11-30 09:30:00+00:00,BTC,175,35,9,160,6,0.05142857142857143,0.9142857142857143,0.03428571428571429,0.006421801370701619,0.24934460791899776,0.12776207033278686,0.8624399094922202,neutral,neutral,0.006421801370701619,positive_injection,0.2,175,0.2,False
BTC_20221130T114000Z,2022-11-30 11:40:00+00:00,2022-11-30 11:45:00+00:00,BTC,202,41,13,180,9,0.06435643564356436,0.8910891089108911,0.04455445544554455,0.012185028057988032,0.2489411809385163,0.12421269456182818,0.8678120072230254,neutral,neutral,0.012185028057988032,positive_injection,0.2,202,0.20297029702970298,False
BTC_20221130T100000Z,2022-11-30 10:00:00+00:00,2022-11-30 10:05:00+00:00,BTC,247,50,9,231,7,0.03643724696356275,0.9352226720647774,0.02834008097165992,0.02403742095327329,0.21167982469834692,0.10076573328963417,0.8750649598928598,neutral,neutral,0.02403742095327329,positive_injection,0.2,247,0.20242914979757085,False
BTC_20221130T110000Z,2022-11-30 11:00:00+00:00,2022-11-30 11:05:00+00:00,BTC,274,55,15,249,10,0.05474452554744526,0.9087591240875912,0.0364963503649635,0.02548958702407179,0.23740037430384742,0.11324189151263367,0.876473561581904,neutral,neutral,0.02548958702407179,positive_injection,0.2,274,0.20072992700729927,False
BTC_20221130T110500Z,2022-11-30 11:05:00+00:00,2022-11-30 11:10:00+00:00,BTC,179,36,11,163,5,0.061452513966480445,0.9106145251396648,0.027932960893854747,0.032169221962838536,0.24158183106395134,0.11851982631351195,0.8739602579084854,neutral,neutral,0.032169221962838536,negative_injection,0.2,179,0.2011173184357542,False
BTC_20221130T093000Z,2022-11-30 09:30:00+00:00,2022-11-30 09:35:00+00:00,BTC,181,37,14,157,10,0.07734806629834254,0.8674033149171271,0.055248618784530384,0.035414152186960805,0.2918231400297468,0.15484428361511032,0.8658150394977127,neutral,neutral,0.035414152186960805,negative_injection,0.2,181,0.20441988950276244,False
BTC_20221130T112000Z,2022-11-30 11:20:00+00:00,2022-11-30 11:25:00+00:00,BTC,189,38,13,170,6,0.06878306878306878,0.8994708994708994,0.031746031746031744,0.05014536460792577,0.25919743613953,0.12935780042969675,0.875073929943105,neutral,neutral,0.05014536460792577,negative_injection,0.2,189,0.20105820105820105,False
BTC_20221130T113000Z,2022-11-30 11:30:00+00:00,2022-11-30 11:35:00+00:00,BTC,188,38,18,165,5,0.09574468085106383,0.8776595744680851,0.026595744680851064,0.053215347963603256,0.25087690833030357,0.13627657872882296,0.8579509893947459,neutral,neutral,0.053215347963603256,negative_injection,0.2,188,0.20212765957446807,False
ETH_20221130T092500Z,2022-11-30 09:25:00+00:00,2022-11-30 09:30:00+00:00,ETH,77,16,1,75,1,0.012987012987012988,0.974025974025974,0.012987012987012988,0.002786044968751731,0.16409240431951028,0.060807309446058104,0.9075802146614372,neutral,neutral,0.002786044968751731,positive_injection,0.2,77,0.2077922077922078,False
ETH_20221130T100000Z,2022-11-30 10:00:00+00:00,2022-11-30 10:05:00+00:00,ETH,104,21,5,93,6,0.04807692307692308,0.8942307692307693,0.057692307692307696,0.005208879557008354,0.2431706196575077,0.1054208430622776,0.8944478762837557,neutral,neutral,0.005208879557008354,positive_injection,0.2,104,0.20192307692307693,False
ETH_20221130T104000Z,2022-11-30 10:40:00+00:00,2022-11-30 10:45:00+00:00,ETH,75,15,2,71,2,0.02666666666666667,0.9466666666666667,0.02666666666666667,0.01769938272734483,0.19094448982390635,0.0798099335283041,0.896751979192098,neutral,neutral,0.01769938272734483,positive_injection,0.2,75,0.2,False
ETH_20221130T114500Z,2022-11-30 11:45:00+00:00,2022-11-30 11:50:00+00:00,ETH,85,17,3,80,2,0.03529411764705882,0.9411764705882353,0.023529411764705882,0.030047447990406963,0.20952887794877284,0.08635443739373894,0.9032245628974017,neutral,neutral,0.030047447990406963,positive_injection,0.2,85,0.2,False
ETH_20221130T093000Z,2022-11-30 09:30:00+00:00,2022-11-30 09:35:00+00:00,ETH,83,17,6,72,5,0.07228915662650602,0.8674698795180723,0.060240963855421686,0.031119094611740256,0.27279209032187224,0.13280189550111451,0.8812681278550482,neutral,neutral,0.031119094611740256,negative_injection,0.2,83,0.20481927710843373,False
ETH_20221130T113000Z,2022-11-30 11:30:00+00:00,2022-11-30 11:35:00+00:00,ETH,82,17,4,76,2,0.04878048780487805,0.926829268292683,0.024390243902439025,0.0380863337777555,0.21339610113297175,0.08753390082090003,0.9007321617952208,neutral,neutral,0.0380863337777555,negative_injection,0.2,82,0.2073170731707317,False
ETH_20221130T110000Z,2022-11-30 11:00:00+00:00,2022-11-30 11:05:00+00:00,ETH,118,24,5,111,2,0.0423728813559322,0.940677966101695,0.01694915254237288,0.041142385358275,0.20890228146345485,0.0816079481678494,0.9071143628176996,neutral,neutral,0.041142385358275,negative_injection,0.2,118,0.2033898305084746,False
ETH_20221130T112000Z,2022-11-30 11:20:00+00:00,2022-11-30 11:25:00+00:00,ETH,87,18,7,78,2,0.08045977011494253,0.896551724137931,0.022988505747126436,0.0590032378918138,0.24711073626996427,0.10630094268541226,0.9020787484344395,neutral,neutral,0.0590032378918138,negative_injection,0.2,87,0.20689655172413793,False
