window_id,window_start,window_end,cryptocurrency,tweet_count,synthetic_count,positive_count,neutral_count,negative_count,positive_ratio,neutral_ratio,negative_ratio,mean_sentiment_score,sentiment_std,sentiment_intensity,mean_sentiment_confidence,dominant_label,regime
BTC_20221130T091500Z,2022-11-30 09:15:00+00:00,2022-11-30 09:20:00+00:00,BTC,102,0,4,96,2,0.0392156862745098,0.9411764705882353,0.0196078431372549,0.024450558128164095,0.2195668380372577,0.10965247433997836,0.8658561858476377,neutral,neutral
BTC_20221130T092000Z,2022-11-30 09:20:00+00:00,2022-11-30 09:25:00+00:00,BTC,165,0,12,148,5,0.07272727272727272,0.896969696969697,0.030303030303030304,0.037861739183691415,0.2412755881842025,0.12013240097034159,0.8707417970353907,neutral,neutral
BTC_20221130T092500Z,2022-11-30 09:25:00+00:00,2022-11-30 09:30:00+00:00,BTC,175,0,9,160,6,0.05142857142857143,0.9142857142857143,0.03428571428571429,0.006421801370701619,0.24934460791899776,0.12776207033278686,0.8624399094922202,neutral,neutral
BTC_20221130T093000Z,2022-11-30 09:30:00+00:00,2022-11-30 09:35:00+00:00,BTC,181,0,14,157,10,0.07734806629834254,0.8674033149171271,0.055248618784530384,0.035414152186960805,0.2918231400297468,0.15484428361511032,0.8658150394977127,neutral,neutral
BTC_20221130T093500Z,2022-11-30 09:35:00+00:00,2022-11-30 09:40:00+00:00,BTC,155,0,6,144,5,0.03870967741935484,0.9290322580645162,0.03225806451612903,0.022439893911923133,0.21456014138436064,0.09674449742080704,0.8843801185008018,neutral,neutral
BTC_20221130T094000Z,2022-11-30 09:40:00+00:00,2022-11-30 09:45:00+00:00,BTC,156,0,6,146,4,0.038461538461538464,0.9358974358974359,0.02564102564102564,0.04689073308000866,0.23167102313601845,0.11236427064973097,0.8772314148835647,neutral,neutral
BTC_20221130T094500Z,2022-11-30 09:45:00+00:00,2022-11-30 09:50:00+00:00,BTC,133,0,5,127,1,0.03759398496240601,0.9548872180451128,0.007518796992481203,0.020075086049063315,0.17794830395954545,0.08396861662289926,0.8700146260566282,neutral,neutral
BTC_20221130T095000Z,2022-11-30 09:50:00+00:00,2022-11-30 09:55:00+00:00,BTC,131,0,1,125,5,0.007633587786259542,0.9541984732824428,0.03816793893129771,0.0008961321032456769,0.17198651284982294,0.08720641220628306,0.874768651168765,neutral,neutral
BTC_20221130T095500Z,2022-11-30 09:55:00+00:00,2022-11-30 10:00:00+00:00,BTC,142,0,7,131,4,0.04929577464788732,0.9225352112676056,0.028169014084507043,0.03815737245014121,0.22730989514673433,0.11140225661433184,0.8781283550279241,neutral,neutral
BTC_20221130T100000Z,2022-11-30 10:00:00+00:00,2022-11-30 10:05:00+00:00,BTC,247,0,9,231,7,0.03643724696356275,0.9352226720647774,0.02834008097165992,0.02403742095327329,0.21167982469834692,0.10076573328963417,0.8750649598928598,neutral,neutral
BTC_20221130T100500Z,2022-11-30 10:05:00+00:00,2022-11-30 10:10:00+00:00,BTC,150,0,6,141,3,0.04,0.94,0.02,0.025124825617919365,0.1978918718028887,0.09430188423022628,0.8764960616827011,neutral,neutral
BTC_20221130T101000Z,2022-11-30 10:10:00+00:00,2022-11-30 10:15:00+00:00,BTC,141,0,10,127,4,0.07092198581560284,0.900709219858156,0.028368794326241134,0.04398038680169811,0.22879526574610606,0.11373564230397026,0.8684867155467365,neutral,neutral
BTC_20221130T101500Z,2022-11-30 10:15:00+00:00,2022-11-30 10:20:00+00:00,BTC,153,0,6,140,7,0.0392156862745098,0.9150326797385621,0.0457516339869281,0.013181325203428665,0.23660120353007386,0.12518076911215592,0.8606277651646558,neutral,neutral
BTC_20221130T102000Z,2022-11-30 10:20:00+00:00,2022-11-30 10:25:00+00:00,BTC,132,0,2,128,2,0.015151515151515152,0.9696969696969697,0.015151515151515152,0.0033637665452040505,0.18985286992047953,0.09315596854624648,0.8805817063107635,neutral,neutral
BTC_20221130T102500Z,2022-11-30 10:25:00+00:00,2022-11-30 10:30:00+00:00,BTC,150,0,6,136,8,0.04,0.9066666666666666,0.05333333333333334,0.0004723059417059024,0.2507671415199215,0.12566688819167515,0.872216370900472,neutral,neutral
BTC_20221130T103000Z,2022-11-30 10:30:00+00:00,2022-11-30 10:35:00+00:00,BTC,171,0,10,151,10,0.05847953216374269,0.8830409356725146,0.05847953216374269,0.008911619082703227,0.2603817125423673,0.12503303872824412,0.8803909190914088,neutral,neutral
BTC_20221130T103500Z,2022-11-30 10:35:00+00:00,2022-11-30 10:40:00+00:00,BTC,140,0,12,122,6,0.08571428571428572,0.8714285714285714,0.04285714285714286,0.029858870172340957,0.28092051297056103,0.14421824720422072,0.8636915624141693,neutral,neutral
BTC_20221130T104000Z,2022-11-30 10:40:00+00:00,2022-11-30 10:45:00+00:00,BTC,160,0,5,151,4,0.03125,0.94375,0.025,0.010693779680877924,0.19709725666198338,0.0972924665780738,0.8705373734235764,neutral,neutral
BTC_20221130T104500Z,2022-11-30 10:45:00+00:00,2022-11-30 10:50:00+00:00,BTC,164,0,4,151,9,0.024390243902439025,0.9207317073170732,0.054878048780487805,0.004074217887913309,0.21906202976721106,0.11114191594420046,0.8653256371617317,neutral,neutral
BTC_20221130T105000Z,2022-11-30 10:50:00+00:00,2022-11-30 10:55:00+00:00,BTC,150,0,4,145,1,0.02666666666666667,0.9666666666666667,0.006666666666666667,0.028984096851199865,0.165898070818904,0.07817146023735404,0.8855626028776169,neutral,neutral
BTC_20221130T105500Z,2022-11-30 10:55:00+00:00,2022-11-30 11:00:00+00:00,BTC,174,0,4,160,10,0.022988505747126436,0.9195402298850575,0.05747126436781609,-0.018042072121203803,0.23215200873195685,0.11470902690546181,0.876090582759901,neutral,neutral
BTC_20221130T110000Z,2022-11-30 11:00:00+00:00,2022-11-30 11:05:00+00:00,BTC,274,0,15,249,10,0.05474452554744526,0.9087591240875912,0.0364963503649635,0.02548958702407179,0.23740037430384742,0.11324189151263367,0.876473561581904,neutral,neutral
