window_id,window_start,cryptocurrency,tweet_count,mean_sentiment,sentiment_std,positive_ratio,negative_ratio,synthetic_count,policy_action,action_taken,oracle_triggered,agent,dataset
BTC_20221130T091500Z,2022-11-30 09:15:00+00:00,BTC,102,0.02936095013009272,0.26708277383496254,0.0392156862745098,0.0196078431372549,0,HOLD,HOLD,False,deterministic,sentiment_1.25
BTC_20221130T092000Z,2022-11-30 09:20:00+00:00,BTC,165,0.04514965907896332,0.2896927105625707,0.07272727272727272,0.030303030303030304,0,BUY,BUY,False,deterministic,sentiment_1.25
BTC_20221130T092500Z,2022-11-30 09:25:00+00:00,BTC,175,0.010658125084425709,0.2958954851348613,0.05142857142857143,0.03428571428571429,0,HOLD,HOLD,False,deterministic,sentiment_1.25
BTC_20221130T093000Z,2022-11-30 09:30:00+00:00,BTC,181,0.04556188779209035,0.3467157428000843,0.07734806629834254,0.055248618784530384,0,BUY,BUY,False,deterministic,sentiment_1.25
BTC_20221130T093500Z,2022-11-30 09:35:00+00:00,BTC,155,0.03052131384460913,0.25104599155636576,0.03870967741935484,0.03225806451612903,0,HOLD,HOLD,False,deterministic,sentiment_1.25
BTC_20221130T094000Z,2022-11-30 09:40:00+00:00,BTC,156,0.056222749274755374,0.2712682022894405,0.038461538461538464,0.02564102564102564,0,BUY,BUY,False,deterministic,sentiment_1.25
BTC_20221130T094500Z,2022-11-30 09:45:00+00:00,BTC,133,0.025560152428084616,0.2194372110120428,0.03759398496240601,0.007518796992481203,0,HOLD,HOLD,False,deterministic,sentiment_1.25
BTC_20221130T095000Z,2022-11-30 09:50:00+00:00,BTC,131,0.002576357768564147,0.2074179300473196,0.007633587786259542,0.03816793893129771,0,HOLD,HOLD,False,deterministic,sentiment_1.25
BTC_20221130T095500Z,2022-11-30 09:55:00+00:00,BTC,142,0.0490383366262212,0.2733675852148274,0.04929577464788732,0.028169014084507043,0,BUY,BUY,False,deterministic,sentiment_1.25
BTC_20221130T100000Z,2022-11-30 10:00:00+00:00,BTC,247,0.02987809077297386,0.25083347901589564,0.03643724696356275,0.02834008097165992,0,HOLD,HOLD,False,deterministic,sentiment_1.25
BTC_20221130T100500Z,2022-11-30 10:05:00+00:00,BTC,150,0.033118904634999696,0.23964907091277327,0.04,0.02,0,HOLD,HOLD,False,deterministic,sentiment_1.25
BTC_20221130T101000Z,2022-11-30 10:10:00+00:00,BTC,141,0.054534247257343814,0.273954951047924,0.07092198581560284,0.028368794326241134,0,BUY,BUY,False,deterministic,sentiment_1.25
BTC_20221130T101500Z,2022-11-30 10:15:00+00:00,BTC,153,0.016742228879593285,0.2893534520905084,0.0392156862745098,0.0457516339869281,0,HOLD,HOLD,False,deterministic,sentiment_1.25
BTC_20221130T102000Z,2022-11-30 10:20:00+00:00,BTC,132,0.005120982054381076,0.22252555178996303,0.015151515151515152,0.015151515151515152,0,HOLD,HOLD,False,deterministic,sentiment_1.25
BTC_20221130T102500Z,2022-11-30 10:25:00+00:00,BTC,150,0.00615069208821901,0.29351567176684107,0.04,0.05333333333333334,0,HOLD,HOLD,False,deterministic,sentiment_1.25
BTC_20221130T103000Z,2022-11-30 10:30:00+00:00,BTC,171,0.010955990055216509,0.3150531976387701,0.05847953216374269,0.05847953216374269,0,HOLD,HOLD,False,deterministic,sentiment_1.25
BTC_20221130T103500Z,2022-11-30 10:35:00+00:00,BTC,140,0.03562440465570292,0.33694580545299263,0.08571428571428572,0.04285714285714286,0,HOLD,HOLD,False,deterministic,sentiment_1.25
BTC_20221130T104000Z,2022-11-30 10:40:00+00:00,BTC,160,0.012881863595976007,0.2443781848277971,0.03125,0.025,0,HOLD,HOLD,False,deterministic,sentiment_1.25
BTC_20221130T104500Z,2022-11-30 10:45:00+00:00,BTC,164,0.005973504683025514,0.2626946954976528,0.024390243902439025,0.054878048780487805,0,HOLD,HOLD,False,deterministic,sentiment_1.25
BTC_20221130T105000Z,2022-11-30 10:50:00+00:00,BTC,150,0.035449670188439364,0.20355540329067362,0.02666666666666667,0.006666666666666667,0,HOLD,HOLD,False,deterministic,sentiment_1.25
BTC_20221130T105500Z,2022-11-30 10:55:00+00:00,BTC,174,-0.01919421593152824,0.2777587287140279,0.022988505747126436,0.05747126436781609,0,SELL,SELL,False,deterministic,sentiment_1.25
BTC_20221130T110000Z,2022-11-30 11:00:00+00:00,BTC,274,0.03178792268149961,0.28243093409213466,0.05474452554744526,0.0364963503649635,0,HOLD,HOLD,False,deterministic,sentiment_1.25
BTC_20221130T110500Z,2022-11-30 11:05:00+00:00,BTC,179,0.03924842178171198,0.28501051161182944,0.061452513966480445,0.027932960893854747,0,HOLD,HOLD,False,deterministic,sentiment_1.25
BTC_20221130T111000Z,2022-11-30 11:10:00+00:00,BTC,153,0.015397659824016715,0.31379167198762253,0.058823529411764705,0.05228758169934641,0,HOLD,HOLD,False,deterministic,sentiment_1.25
BTC_20221130T111500Z,2022-11-30 11:15:00+00:00,BTC,149,0.008330009086995101,0.24364755890883075,0.020134228187919462,0.040268456375838924,0,HOLD,HOLD,False,deterministic,sentiment_1.25
BTC_20221130T112000Z,2022-11-30 11:20:00+00:00,BTC,189,0.061153236166795785,0.30479939987482296,0.06878306878306878,0.031746031746031744,0,BUY,BUY,False,deterministic,sentiment_1.25
BTC_20221130T112500Z,2022-11-30 11:25:00+00:00,BTC,144,9.019990264073175e-05,0.23547160348095328,0.034722222222222224,0.034722222222222224,0,HOLD,HOLD,False,deterministic,sentiment_1.25
BTC_20221130T113000Z,2022-11-30 11:30:00+00:00,BTC,188,0.06357601092647798,0.3005926129109584,0.09574468085106383,0.026595744680851064,0,BUY,BUY,False,deterministic,sentiment_1.25
BTC_20221130T113500Z,2022-11-30 11:35:00+00:00,BTC,157,0.023037921058927532,0.31286785848729215,0.06369426751592357,0.050955414012738856,0,HOLD,HOLD,False,deterministic,sentiment_1.25
BTC_20221130T114000Z,2022-11-30 11:40:00+00:00,BTC,202,0.018333951732844547,0.29305635594166496,0.06435643564356436,0.04455445544554455,0,HOLD,HOLD,False,deterministic,sentiment_1.25
BTC_20221130T114500Z,2022-11-30 11:45:00+00:00,BTC,174,0.03894759342141297,0.2682720403644946,0.040229885057471264,0.034482758620689655,0,HOLD,HOLD,False,deterministic,sentiment_1.25
