window_id,window_start,cryptocurrency,tweet_count,mean_sentiment,sentiment_std,positive_ratio,negative_ratio,synthetic_count,policy_action,action_taken,oracle_triggered,agent,dataset
BTC_20221130T091500Z,2022-11-30 09:15:00+00:00,BTC,102,0.02445055812816409,0.21956683803725768,0.0392156862745098,0.0196078431372549,0,HOLD,HOLD,False,fingpt,baseline
BTC_20221130T092000Z,2022-11-30 09:20:00+00:00,BTC,165,0.0378617391836914,0.24127558818420247,0.07272727272727272,0.030303030303030304,0,HOLD,HOLD,False,fingpt,baseline
BTC_20221130T092500Z,2022-11-30 09:25:00+00:00,BTC,175,0.00642180137070161,0.24934460791899776,0.05142857142857143,0.03428571428571429,0,HOLD,HOLD,False,fingpt,baseline
BTC_20221130T093000Z,2022-11-30 09:30:00+00:00,BTC,181,0.035414152186960805,0.2918231400297468,0.07734806629834254,0.055248618784530384,0,HOLD,HOLD,False,fingpt,baseline
BTC_20221130T093500Z,2022-11-30 09:35:00+00:00,BTC,155,0.022439893911923116,0.21456014138436064,0.03870967741935484,0.03225806451612903,0,HOLD,HOLD,False,fingpt,baseline
BTC_20221130T094000Z,2022-11-30 09:40:00+00:00,BTC,156,0.04689073308000867,0.23167102313601845,0.038461538461538464,0.02564102564102564,0,HOLD,HOLD,False,fingpt,baseline
BTC_20221130T094500Z,2022-11-30 09:45:00+00:00,BTC,133,0.020075086049063304,0.17794830395954545,0.03759398496240601,0.007518796992481203,0,HOLD,HOLD,False,fingpt,baseline
BTC_20221130T095000Z,2022-11-30 09:50:00+00:00,BTC,131,0.0008961321032456659,0.17198651284982291,0.007633587786259542,0.03816793893129771,0,HOLD,HOLD,False,fingpt,baseline
BTC_20221130T095500Z,2022-11-30 09:55:00+00:00,BTC,142,0.0381573724501412,0.22730989514673433,0.04929577464788732,0.028169014084507043,0,HOLD,HOLD,False,fingpt,baseline
BTC_20221130T100000Z,2022-11-30 10:00:00+00:00,BTC,247,0.02403742095327329,0.2116798246983469,0.03643724696356275,0.02834008097165992,0,HOLD,HOLD,False,fingpt,baseline
BTC_20221130T100500Z,2022-11-30 10:05:00+00:00,BTC,150,0.025124825617919355,0.1978918718028887,0.04,0.02,0,HOLD,HOLD,False,fingpt,baseline
BTC_20221130T101000Z,2022-11-30 10:10:00+00:00,BTC,141,0.04398038680169809,0.22879526574610604,0.07092198581560284,0.028368794326241134,0,HOLD,HOLD,False,fingpt,baseline
BTC_20221130T101500Z,2022-11-30 10:15:00+00:00,BTC,153,0.013181325203428648,0.23660120353007383,0.0392156862745098,0.0457516339869281,0,HOLD,HOLD,False,fingpt,baseline
BTC_20221130T102000Z,2022-11-30 10:20:00+00:00,BTC,132,0.0033637665452040414,0.18985286992047953,0.015151515151515152,0.015151515151515152,0,HOLD,HOLD,False,fingpt,baseline
BTC_20221130T102500Z,2022-11-30 10:25:00+00:00,BTC,150,0.0004723059417058906,0.2507671415199215,0.04,0.05333333333333334,0,HOLD,HOLD,False,fingpt,baseline
BTC_20221130T103000Z,2022-11-30 10:30:00+00:00,BTC,171,0.008911619082703222,0.26038171254236725,0.05847953216374269,0.05847953216374269,0,HOLD,HOLD,False,fingpt,baseline
BTC_20221130T103500Z,2022-11-30 10:35:00+00:00,BTC,140,0.02985887017234095,0.280920512970561,0.08571428571428572,0.04285714285714286,0,HOLD,HOLD,False,fingpt,baseline
BTC_20221130T104000Z,2022-11-30 10:40:00+00:00,BTC,160,0.010693779680877914,0.19709725666198336,0.03125,0.025,0,HOLD,HOLD,False,fingpt,baseline
BTC_20221130T104500Z,2022-11-30 10:45:00+00:00,BTC,164,0.004074217887913297,0.21906202976721106,0.024390243902439025,0.054878048780487805,0,HOLD,HOLD,False,fingpt,baseline
BTC_20221130T105000Z,2022-11-30 10:50:00+00:00,BTC,150,0.028984096851199855,0.165898070818904,0.02666666666666667,0.006666666666666667,0,HOLD,HOLD,False,fingpt,baseline
BTC_20221130T105500Z,2022-11-30 10:55:00+00:00,BTC,174,-0.01804207212120381,0.23215200873195682,0.022988505747126436,0.05747126436781609,0,HOLD,HOLD,False,fingpt,baseline
BTC_20221130T110000Z,2022-11-30 11:00:00+00:00,BTC,274,0.025489587024071787,0.23740037430384742,0.05474452554744526,0.0364963503649635,0,HOLD,HOLD,False,fingpt,baseline
BTC_20221130T110500Z,2022-11-30 11:05:00+00:00,BTC,179,0.03216922196283853,0.24158183106395134,0.061452513966480445,0.027932960893854747,0,HOLD,HOLD,False,fingpt,baseline
BTC_20221130T111000Z,2022-11-30 11:10:00+00:00,BTC,153,0.009787688546150536,0.2680191223480054,0.058823529411764705,0.05228758169934641,0,HOLD,HOLD,False,fingpt,baseline
BTC_20221130T111500Z,2022-11-30 11:15:00+00:00,BTC,149,0.005745389317506106,0.19899740776199942,0.020134228187919462,0.040268456375838924,0,HOLD,HOLD,False,fingpt,baseline
BTC_20221130T112000Z,2022-11-30 11:20:00+00:00,BTC,189,0.05014536460792575,0.25919743613953,0.06878306878306878,0.031746031746031744,0,HOLD,HOLD,False,fingpt,baseline
BTC_20221130T112500Z,2022-11-30 11:25:00+00:00,BTC,144,0.0005562064535398369,0.19050960687458757,0.034722222222222224,0.034722222222222224,0,HOLD,HOLD,False,fingpt,baseline
BTC_20221130T113000Z,2022-11-30 11:30:00+00:00,BTC,188,0.05321534796360324,0.25087690833030357,0.09574468085106383,0.026595744680851064,0,HOLD,HOLD,False,fingpt,baseline
BTC_20221130T113500Z,2022-11-30 11:35:00+00:00,BTC,157,0.01781157645319771,0.2668628627868646,0.06369426751592357,0.050955414012738856,0,HOLD,HOLD,False,fingpt,baseline
BTC_20221130T114000Z,2022-11-30 11:40:00+00:00,BTC,202,0.012185028057988028,0.2489411809385163,0.06435643564356436,0.04455445544554455,0,HOLD,HOLD,False,fingpt,baseline
BTC_20221130T114500Z,2022-11-30 11:45:00+00:00,BTC,174,0.03184609237426741,0.22078957546109856,0.040229885057471264,0.034482758620689655,0,HOLD,HOLD,False,fingpt,baseline
BTC_20221130T115000Z,2022-11-30 11:50:00+00:00,BTC,124,-0.023874578111234227,0.2629179305417695,0.03225806451612903,0.06451612903225806,0,HOLD,HOLD,False,fingpt,baseline
ETH_20221130T091500Z,2022-11-30 09:15:00+00:00,ETH,40,0.03443370372988282,0.07017057761171218,0.0,0.0,0,HOLD,HOLD,False,fingpt,baseline
